ID,Fp1_F7,Fp1_T7,Fp1_P7,Fp1_O1,Fp1_Fp2,Fp1_F8,Fp1_T8,Fp1_P8,Fp1_O2,Fp1_F3,Fp1_C3,Fp1_P3,Fp1_F4,Fp1_C4,Fp1_P4,Fp1_Fz,Fp1_Cz,Fp1_Pz,F7_T7,F7_P7,F7_O1,F7_Fp2,F7_F8,F7_T8,F7_P8,F7_O2,F7_F3,F7_C3,F7_P3,F7_F4,F7_C4,F7_P4,F7_Fz,F7_Cz,F7_Pz,T7_P7,T7_O1,T7_Fp2,T7_F8,T7_T8,T7_P8,T7_O2,T7_F3,T7_C3,T7_P3,T7_F4,T7_C4,T7_P4,T7_Fz,T7_Cz,T7_Pz,P7_O1,P7_Fp2,P7_F8,P7_T8,P7_P8,P7_O2,P7_F3,P7_C3,P7_P3,P7_F4,P7_C4,P7_P4,P7_Fz,P7_Cz,P7_Pz,O1_Fp2,O1_F8,O1_T8,O1_P8,O1_O2,O1_F3,O1_C3,O1_P3,O1_F4,O1_C4,O1_P4,O1_Fz,O1_Cz,O1_Pz,Fp2_F8,Fp2_T8,Fp2_P8,Fp2_O2,Fp2_F3,Fp2_C3,Fp2_P3,Fp2_F4,Fp2_C4,Fp2_P4,Fp2_Fz,Fp2_Cz,Fp2_Pz,F8_T8,F8_P8,F8_O2,F8_F3,F8_C3,F8_P3,F8_F4,F8_C4,F8_P4,F8_Fz,F8_Cz,F8_Pz,T8_P8,T8_O2,T8_F3,T8_C3,T8_P3,T8_F4,T8_C4,T8_P4,T8_Fz,T8_Cz,T8_Pz,P8_O2,P8_F3,P8_C3,P8_P3,P8_F4,P8_C4,P8_P4,P8_Fz,P8_Cz,P8_Pz,O2_F3,O2_C3,O2_P3,O2_F4,O2_C4,O2_P4,O2_Fz,O2_Cz,O2_Pz,F3_C3,F3_P3,F3_F4,F3_C4,F3_P4,F3_Fz,F3_Cz,F3_Pz,C3_P3,C3_F4,C3_C4,C3_P4,C3_Fz,C3_Cz,C3_Pz,P3_F4,P3_C4,P3_P4,P3_Fz,P3_Cz,P3_Pz,F4_C4,F4_P4,F4_Fz,F4_Cz,F4_Pz,C4_P4,C4_Fz,C4_Cz,C4_Pz,P4_Fz,P4_Cz,P4_Pz,Fz_Cz,Fz_Pz,Cz_Pz
S_1063084_e_001.set,0.2355471,0.06040188,0.02529782,0.0244346,0.04372101,0.1338008,0.0798139,0.07770269,0.05265561,0.1342085,0.05699685,0.02976579,0.3828185,0.1678013,0.1052036,0.1974308,0.113958,0.06560603,0.689802,0.4157692,0.3148029,0.1494937,0.02432503,0.08297719,0.1649963,0.223054,0.585155,0.6206575,0.2935827,0.07585113,0.05397079,0.1485383,0.06634083,0.1245113,0.2146176,0.7362816,0.602818,0.1518127,0.07724608,0.2056953,0.3524623,0.4441841,0.4638234,0.7504666,0.5697496,0.01665426,0.1221587,0.323294,0.1330557,0.2520866,0.4269253,0.8306105,0.09875064,0.1506763,0.2888312,0.4843542,0.6455593,0.3008877,0.5784298,0.7431447,0.03924838,0.1887559,0.4552547,0.1237432,0.2936735,0.5813787,0.09176666,0.2301478,0.391228,0.6542477,0.8404148,0.2297419,0.4847955,0.7569336,0.09568749,0.2800554,0.6095518,0.1306,0.3204421,0.6843684,0.141994,0.05732938,0.05400886,0.07188895,0.3668943,0.2562697,0.1268714,0.07561688,0.03243069,0.05579787,0.4430404,0.2446372,0.1241711,0.7606061,0.5217459,0.3408759,0.0581791,0.04878114,0.1435796,0.598377,0.5261207,0.3798385,0.03027307,0.05837941,0.1607121,0.7825348,0.5441699,0.05924599,0.1320802,0.2619707,0.3781904,0.6167607,0.586754,0.04748474,0.1213072,0.2863098,0.8653444,0.1195574,0.2654822,0.4677243,0.2769604,0.5567402,0.8200901,0.1011449,0.2458255,0.5208238,0.1699223,0.3556381,0.6207101,0.1707932,0.3960996,0.7698877,0.1210719,0.3011856,0.6506332,0.629248,0.2941206,0.1547812,0.0721865,0.1355165,0.1738823,0.2172397,0.2333091,0.5714664,0.0403094,0.1101621,0.2930121,0.2119663,0.3761297,0.4856572,0.07537183,0.2442916,0.5344139,0.1652146,0.3795275,0.740805,0.5999846,0.3054532,0.07243428,0.09604473,0.1396289,0.671514,0.1137064,0.2498481,0.3621329,0.1559706,0.3948492,0.6964781,0.5249806,0.2340093,0.6142226
S_1262610_e_001.set,0.5888584,0.2930027,0.06156949,0.04467471,0.367762,0.2269132,0.1035504,0.05146633,0.04097797,0.4485604,0.1094536,0.05139722,0.1378173,0.08097483,0.05864058,0.04100685,0.0435781,0.0510262,0.7623146,0.2567116,0.09558735,0.280486,0.131475,0.06996899,0.08312381,0.1146179,0.5140486,0.3705466,0.140584,0.06939813,0.06851067,0.06672451,0.05067198,0.1224733,0.09757284,0.5261456,0.1703748,0.1516256,0.06514835,0.07883829,0.1781265,0.2461508,0.3535065,0.5495204,0.2744103,0.02405318,0.09258164,0.1516223,0.04792941,0.1923684,0.2068324,0.5537868,0.04641581,0.08653839,0.232099,0.4568276,0.6328249,0.2196287,0.5795913,0.6918018,0.04086206,0.2383153,0.4230273,0.06032145,0.3094774,0.5420935,0.03762384,0.09992139,0.2204537,0.3844512,0.6593215,0.08037115,0.2671917,0.5859863,0.06638441,0.2359366,0.397711,0.04834432,0.2243968,0.5001612,0.4530204,0.2197576,0.08517323,0.04140974,0.1236466,0.03235968,0.03626768,0.493612,0.2298462,0.1126199,0.09438992,0.07834074,0.06919471,0.7028992,0.4126249,0.2250656,0.1147508,0.09100527,0.158049,0.5709513,0.534407,0.3744317,0.196605,0.2477994,0.243715,0.7540658,0.5006443,0.09409808,0.200009,0.3182566,0.4680619,0.7489493,0.6819029,0.211971,0.3773974,0.4700316,0.8218968,0.1085025,0.3435037,0.5252676,0.2887283,0.7019122,0.863898,0.1698316,0.4547165,0.7002534,0.1099625,0.3973252,0.689298,0.1462875,0.502647,0.7703917,0.1016978,0.4040304,0.7784312,0.5461041,0.2206762,0.06013697,0.1211692,0.1219292,0.3493425,0.2970195,0.1630688,0.6575745,0.1091894,0.3367327,0.4334613,0.3227646,0.6422334,0.5698758,0.1375899,0.4271909,0.6366219,0.1650739,0.5361002,0.8412742,0.6388302,0.3853542,0.5018316,0.39892,0.2536118,0.837162,0.423954,0.687575,0.6546986,0.2798992,0.6358659,0.8653295,0.5980394,0.2493767,0.6899637
S_1262610_e_002.set,0.5625381,0.2556953,0.0640083,0.04383928,0.3812415,0.1429256,0.08903612,0.04461043,0.03344574,0.6708985,0.2876726,0.0523384,0.0586582,0.03811492,0.03847912,0.2091699,0.1357114,0.0398031,0.7773927,0.2276825,0.05013289,0.1859901,0.06786571,0.05430315,0.04094027,0.04421245,0.4690241,0.3747453,0.1054124,0.03592123,0.05015466,0.04016823,0.09730124,0.1258504,0.06101732,0.5679681,0.1786965,0.06100798,0.0474824,0.07102425,0.1333643,0.1782694,0.3055337,0.4932846,0.3164986,0.03542089,0.1008909,0.14332,0.1018249,0.1997939,0.2068653,0.5795188,0.03883173,0.1087268,0.170955,0.3202307,0.4531221,0.1483578,0.4646934,0.7300085,0.1011573,0.2183531,0.3750952,0.1183985,0.2662704,0.4997576,0.06834444,0.1483293,0.2278861,0.4216241,0.7025408,0.05860031,0.1810675,0.5455279,0.1072205,0.2225397,0.4268591,0.0780452,0.1533855,0.4724157,0.5323036,0.3285714,0.1897272,0.1083237,0.138755,0.02599829,0.05363746,0.4554983,0.2423481,0.1600143,0.03944694,0.04002549,0.08850797,0.8734391,0.568063,0.3447022,0.06983513,0.04797101,0.1470889,0.6054341,0.587721,0.4563091,0.09137723,0.1544414,0.2707269,0.7890017,0.5175731,0.05303834,0.08407416,0.2129923,0.5277127,0.6823819,0.6377785,0.1193413,0.2163315,0.3810416,0.8402907,0.0428804,0.1788966,0.3693875,0.418688,0.6936038,0.8536374,0.1703905,0.3196662,0.5956643,0.04948079,0.2188059,0.4984681,0.2699395,0.5141622,0.7743686,0.151248,0.2920101,0.6639777,0.6558199,0.2051076,0.07469895,0.09857055,0.0862601,0.5501195,0.4444497,0.164281,0.5988975,0.1454845,0.2818412,0.3145912,0.4988472,0.6839384,0.4996293,0.1911983,0.380805,0.5672843,0.2408655,0.4665664,0.8087574,0.7322051,0.4679317,0.4632008,0.4018884,0.3476847,0.8194226,0.4221523,0.5921012,0.6482624,0.2864093,0.507246,0.837122,0.721522,0.3431109,0.6288409
S_1262610_e_003.set,0.5593568,0.2343881,0.08797475,0.04617731,0.3385602,0.1950219,0.1230688,0.08903282,0.07213903,0.5546944,0.1866045,0.06514707,0.122364,0.0811726,0.08086611,0.1065527,0.08235171,0.06564299,0.7180442,0.2106527,0.05255134,0.1684117,0.0761927,0.06231312,0.0514529,0.04641826,0.4308866,0.31764,0.1075489,0.0855791,0.06201225,0.05818857,0.09219708,0.08412484,0.06888565,0.5665785,0.1648372,0.05613302,0.07480815,0.1286127,0.1635316,0.1696733,0.2668671,0.4285425,0.3154117,0.04689263,0.1071438,0.1535978,0.07482265,0.110182,0.181016,0.6096594,0.07766621,0.1742236,0.2633779,0.3903099,0.5110415,0.1413613,0.4250435,0.7439508,0.1064681,0.2252806,0.4025341,0.09601945,0.1767498,0.4764813,0.07797636,0.1604524,0.2483412,0.4183607,0.6953857,0.07001094,0.2209683,0.6270455,0.125324,0.2025219,0.4060902,0.09092426,0.1467509,0.4686666,0.6982927,0.5011479,0.3453228,0.2143343,0.08137677,0.04147218,0.1004996,0.6421735,0.412636,0.3013845,0.1063775,0.1348558,0.1874984,0.8742437,0.6261272,0.4132854,0.06920297,0.09163746,0.1990564,0.6012735,0.5542117,0.4906305,0.1109645,0.1864135,0.318415,0.8372586,0.5951216,0.06304569,0.1758624,0.3009304,0.5545233,0.674598,0.6812596,0.1586844,0.2745589,0.4637962,0.8523837,0.08203516,0.2763201,0.4785673,0.4705531,0.6803502,0.8553515,0.2174303,0.3614348,0.6617466,0.08968547,0.2964212,0.6220863,0.3295186,0.5126483,0.7788106,0.189718,0.3183936,0.7142619,0.6079854,0.1884121,0.08691221,0.1225548,0.1267853,0.5105861,0.3910099,0.1879652,0.5897822,0.2087479,0.3663431,0.4241206,0.4834567,0.6037903,0.5508987,0.2319138,0.3999117,0.6314543,0.2517215,0.3901562,0.7979707,0.7671977,0.5479916,0.4905312,0.5012435,0.4346575,0.8183606,0.461519,0.6585367,0.6799278,0.3491226,0.5580037,0.8885064,0.7777848,0.3984265,0.6237499
S_1262610_e_004.set,0.6522423,0.3225022,0.08172073,0.05789916,0.42098,0.1785917,0.1125175,0.06745524,0.05145655,0.690289,0.3178151,0.07788043,0.1120201,0.06058358,0.0654765,0.1413228,0.1185763,0.0633347,0.7372205,0.1794208,0.05375862,0.2427248,0.08412448,0.07316414,0.05964081,0.05712397,0.5411509,0.4020413,0.1116792,0.09073982,0.04842257,0.05773767,0.1021517,0.1138884,0.07105763,0.5034701,0.1676296,0.09061437,0.04724118,0.09840885,0.1518465,0.1689897,0.353029,0.4956678,0.3029506,0.04350406,0.08616274,0.1440013,0.1164291,0.1611748,0.1865864,0.664158,0.04164605,0.1027208,0.1913432,0.3339601,0.4574472,0.1766119,0.4617077,0.7891037,0.07736354,0.2199165,0.3889418,0.1372175,0.2499175,0.5358821,0.07660529,0.1307496,0.219602,0.3997113,0.63375,0.1113607,0.2374109,0.6773098,0.09568938,0.2573567,0.4606746,0.1247143,0.2180682,0.5870739,0.5648919,0.3450593,0.215792,0.1362909,0.1525893,0.02453925,0.0586244,0.5053069,0.2746059,0.1841502,0.04134164,0.04136059,0.09795616,0.8368153,0.5437188,0.3388213,0.08484533,0.06806333,0.1374879,0.5866653,0.5650478,0.4176196,0.09448355,0.1117242,0.2322817,0.7949847,0.5468364,0.07665353,0.1353582,0.2229484,0.4746833,0.6822532,0.635577,0.1170393,0.1815062,0.3773831,0.8284665,0.07563903,0.225105,0.3849373,0.3710058,0.7154954,0.8582546,0.1681754,0.2877101,0.6094318,0.08633021,0.2698044,0.5344011,0.2524543,0.5569934,0.7744954,0.1713369,0.3186534,0.6971245,0.6701885,0.2213422,0.07475755,0.09629437,0.1141698,0.4694789,0.4014207,0.186442,0.5642158,0.1242006,0.2874328,0.3443724,0.4763383,0.6261625,0.4888333,0.1578718,0.3598587,0.5560571,0.2547807,0.4256163,0.8006345,0.6894142,0.4203376,0.455914,0.3520778,0.2945606,0.8255486,0.3864997,0.532615,0.632149,0.2719283,0.4598742,0.8337982,0.7193679,0.3317991,0.5829492
S_1262610_e_005.set,0.6923091,0.4183652,0.1721659,0.05435578,0.409813,0.1740763,0.0702983,0.04327036,0.06097016,0.6800805,0.4136834,0.1266352,0.09310066,0.04448401,0.05350593,0.1664231,0.1616919,0.09436002,0.7843326,0.3504122,0.07766355,0.2359433,0.07831866,0.05013384,0.08748203,0.1078013,0.5298026,0.4852045,0.1720716,0.07772854,0.05198969,0.07472146,0.1050989,0.1558194,0.1087523,0.6899655,0.2182894,0.09492832,0.03670909,0.08068308,0.1985974,0.2709368,0.3749397,0.5531122,0.3922398,0.0431936,0.1021278,0.1783175,0.1274824,0.2221758,0.2577974,0.5448524,0.05309707,0.07554679,0.153655,0.3426235,0.5287405,0.1932032,0.4438389,0.672518,0.08278747,0.1853018,0.3537685,0.1310851,0.2357337,0.4750803,0.05757274,0.1055465,0.1712836,0.3720976,0.6989855,0.07209054,0.1739383,0.5358728,0.1201866,0.1988167,0.3883661,0.1176365,0.1614394,0.4671918,0.5835,0.324828,0.1677973,0.09225915,0.1543256,0.05610573,0.05530854,0.5138398,0.2698463,0.1643007,0.05637195,0.05365676,0.09211233,0.8155233,0.4612222,0.2335324,0.06817937,0.02186782,0.09847356,0.58095,0.509568,0.348378,0.09758807,0.09809119,0.1880379,0.7467275,0.4383545,0.03731833,0.06859494,0.1966752,0.4649887,0.6369002,0.5822158,0.1233758,0.1612462,0.3388039,0.8043347,0.05358611,0.1827907,0.4120471,0.3370152,0.634611,0.8382238,0.1571268,0.2642168,0.612448,0.08021891,0.2345582,0.5801799,0.1984362,0.4318835,0.7446247,0.1506408,0.256926,0.6962318,0.7202284,0.2404427,0.04315806,0.09448658,0.1136866,0.5026252,0.4967255,0.2159394,0.574179,0.08503649,0.2518254,0.3078252,0.4889793,0.6757151,0.4842753,0.1507244,0.3539217,0.5848945,0.2552343,0.4237815,0.8054698,0.7038333,0.4035267,0.4388666,0.3291522,0.2776082,0.782142,0.4363809,0.5334207,0.5993113,0.2806779,0.4480685,0.8462917,0.7641729,0.3427127,0.5725372
S_1262610_e_006.set,0.6700957,0.4183816,0.1336435,0.04288539,0.3856845,0.1700351,0.08875135,0.03545929,0.04258852,0.6417691,0.3651989,0.07816434,0.07515362,0.04231378,0.03111818,0.1287381,0.1201816,0.04983567,0.8124456,0.2969614,0.0572073,0.2906931,0.09380294,0.0648233,0.05733591,0.06772265,0.4812306,0.3981388,0.1278065,0.09900227,0.05487567,0.04736926,0.09346128,0.1081508,0.07558727,0.6017109,0.1597707,0.1499772,0.03912987,0.05646951,0.1081886,0.1588221,0.3601243,0.4713703,0.296774,0.06044527,0.06324545,0.1012418,0.1077707,0.1536449,0.1671704,0.465304,0.02521363,0.03113042,0.08263267,0.2141994,0.3666061,0.1848711,0.4391793,0.6043389,0.06277254,0.1337374,0.2592737,0.1117674,0.2106474,0.381172,0.04326141,0.09286687,0.1551174,0.3300329,0.6751737,0.06183646,0.1628811,0.5163879,0.09266714,0.1769116,0.3796784,0.09649266,0.1685853,0.481466,0.6061988,0.3507429,0.1652254,0.0902751,0.1261842,0.04248905,0.02973413,0.5409546,0.2862556,0.1795839,0.08603623,0.05083396,0.0947827,0.837153,0.4680761,0.2477235,0.07237238,0.03359503,0.07382919,0.582342,0.5305039,0.3897072,0.09906149,0.1007061,0.1994091,0.7465992,0.4455238,0.04514502,0.05904004,0.143474,0.4482014,0.6356351,0.5987983,0.1038484,0.1634218,0.3276563,0.8053115,0.03229292,0.1131517,0.2931696,0.3111008,0.6173258,0.8117273,0.1245068,0.2553283,0.5458044,0.05759166,0.1611229,0.4649667,0.2133551,0.4392107,0.7363899,0.1371193,0.2705424,0.667175,0.7349094,0.2358205,0.0439883,0.06027243,0.06580941,0.4203693,0.3990043,0.1490405,0.572143,0.103601,0.2006817,0.2230198,0.4374841,0.595251,0.3844464,0.157297,0.3526501,0.5313863,0.2764125,0.4943899,0.7980273,0.6688731,0.4111814,0.5041569,0.361289,0.3031797,0.7982688,0.3607287,0.5005085,0.6009492,0.2420614,0.4385754,0.8221242,0.6922641,0.3254594,0.5829667
S_1262610_e_007.set,0.6969057,0.4387313,0.1825141,0.05911275,0.3763203,0.2623845,0.1879179,0.09429362,0.06311109,0.6498777,0.4002152,0.1473783,0.1314091,0.06518533,0.06611491,0.08102787,0.1074754,0.07700396,0.8133401,0.2985429,0.0531442,0.2607921,0.1353723,0.08124219,0.04694717,0.04737116,0.5057573,0.4027853,0.1502718,0.1224895,0.04266523,0.04223527,0.04015294,0.07335958,0.0667044,0.5954099,0.1091908,0.1473193,0.06907963,0.04849734,0.07997429,0.1187734,0.383948,0.4929527,0.3040565,0.07615752,0.03811458,0.08421744,0.05887949,0.1192753,0.1576268,0.4038598,0.07684814,0.07490382,0.09521659,0.1909902,0.3379588,0.2151277,0.4725516,0.5888034,0.062263,0.08508893,0.2283025,0.08790419,0.1844791,0.3599429,0.08413707,0.1237323,0.1605449,0.3160087,0.6907148,0.06465056,0.1870034,0.537132,0.1184821,0.1707335,0.3853409,0.08485347,0.165221,0.4772663,0.7085676,0.4741246,0.2511908,0.1287141,0.1419732,0.07469523,0.07878426,0.6817055,0.3837167,0.2071393,0.1120823,0.06579701,0.1004503,0.8384696,0.4938823,0.2541406,0.1169276,0.07041501,0.09230162,0.6207798,0.5139248,0.3361979,0.1055043,0.1008078,0.1563933,0.750441,0.4232393,0.08268676,0.0736722,0.1199077,0.4805948,0.5901502,0.5185219,0.108818,0.1424381,0.2462567,0.7711149,0.06579354,0.1453183,0.2784588,0.3436126,0.5967993,0.7760078,0.1618467,0.2551026,0.4988777,0.07406619,0.2252446,0.4996004,0.2139763,0.4058636,0.7273563,0.1522723,0.2748553,0.6583636,0.7187449,0.2783693,0.03002454,0.07228611,0.09849519,0.3996677,0.4118105,0.204832,0.6494474,0.06975099,0.1978811,0.2956595,0.3978947,0.6022063,0.5079607,0.1272421,0.2684777,0.5104126,0.2434887,0.4513228,0.788934,0.6923591,0.399677,0.4534407,0.2836132,0.2452334,0.7573596,0.4537653,0.5286844,0.5144469,0.3193659,0.5096813,0.8118685,0.710027,0.3477312,0.6325004
S_1262610_e_008.set,0.6021563,0.3205543,0.1475585,0.07115608,0.3560135,0.2613572,0.185732,0.1101958,0.09769013,0.6321434,0.339098,0.1083056,0.1173568,0.09145648,0.1071525,0.1770301,0.181453,0.123919,0.7794943,0.3336109,0.07599575,0.2252474,0.1412422,0.1101425,0.07500324,0.08698547,0.5001323,0.4673125,0.1702011,0.09738658,0.07191262,0.08655689,0.09150305,0.1409156,0.1235515,0.6271477,0.1154506,0.125393,0.06955102,0.07634763,0.09230605,0.130047,0.3155535,0.5246353,0.3487887,0.06049902,0.08169825,0.1300485,0.07089234,0.1696701,0.2093192,0.3642066,0.08009291,0.1004218,0.1369104,0.2340554,0.3380923,0.1982909,0.4392823,0.6085827,0.08308534,0.1630186,0.3188625,0.08306519,0.1976272,0.4163662,0.08894257,0.1473186,0.2130275,0.404544,0.7368354,0.09332151,0.1320557,0.4908823,0.1144679,0.1927292,0.4098894,0.06134854,0.1133577,0.4434795,0.70909,0.4935023,0.2899549,0.1813006,0.1529937,0.1003523,0.09943023,0.6308432,0.3759896,0.2519053,0.1083089,0.107068,0.1565052,0.8708887,0.5797986,0.3578675,0.1521863,0.08676617,0.1358573,0.6311433,0.5665807,0.4505607,0.1143676,0.1518454,0.2772509,0.7892414,0.5206431,0.1316974,0.09854262,0.1756131,0.5105457,0.6229029,0.6111025,0.1073538,0.1740198,0.3739803,0.8105462,0.09402859,0.1120975,0.2741234,0.3940911,0.6233994,0.819645,0.1163917,0.2216617,0.5514004,0.1088242,0.160661,0.45238,0.2570292,0.4460299,0.7513902,0.1083786,0.2176608,0.6469103,0.6681851,0.2181318,0.0745498,0.1207003,0.1451099,0.4917752,0.4495418,0.2333659,0.5261233,0.1053335,0.2143715,0.2632047,0.4178259,0.5858713,0.4436401,0.1235075,0.2626898,0.4776188,0.1713374,0.3379779,0.7278026,0.7209601,0.4423514,0.4154345,0.3550608,0.2965775,0.7707754,0.4155418,0.5511555,0.5841854,0.2679346,0.4431812,0.8360069,0.7459205,0.3210481,0.56521
S_1262610_e_009.set,0.5621635,0.2380771,0.05168569,0.04772343,0.4443941,0.3450381,0.2305483,0.1667711,0.1053076,0.6085137,0.2585272,0.06209948,0.2053468,0.1196315,0.1227255,0.1117756,0.1066656,0.08511264,0.7313499,0.2334388,0.05637071,0.259418,0.1238354,0.06238349,0.04729145,0.05402292,0.5079514,0.4617868,0.1474926,0.1059292,0.05373675,0.06408751,0.08656,0.129593,0.1019936,0.5995118,0.1420131,0.1079198,0.05660663,0.04956224,0.09297138,0.1400957,0.3276922,0.5411209,0.3841867,0.06099388,0.08674306,0.1449865,0.1000389,0.1889663,0.2375649,0.4104688,0.05166299,0.09441871,0.1338609,0.255076,0.3794855,0.1161265,0.3660432,0.6279402,0.07141457,0.1419375,0.2881477,0.07123581,0.1613811,0.4021154,0.05741981,0.1171927,0.1881729,0.3667357,0.668155,0.07224747,0.120961,0.489796,0.10086,0.146888,0.3371181,0.06922986,0.08952168,0.389768,0.7243833,0.5073031,0.3027994,0.1605507,0.1858816,0.05698794,0.04589199,0.6754096,0.3760138,0.2651104,0.09835567,0.07772867,0.1344187,0.8620651,0.5753715,0.3283759,0.164993,0.05457937,0.1066995,0.6622317,0.5581852,0.457619,0.1087377,0.1484032,0.2625629,0.7823933,0.488236,0.110143,0.05966416,0.1616427,0.5514224,0.6337235,0.6217119,0.1123771,0.1904035,0.3656535,0.811168,0.109798,0.1377743,0.3444552,0.4257914,0.6376014,0.8397104,0.1386268,0.2865819,0.6075402,0.1155124,0.1804396,0.5012901,0.2514731,0.4286427,0.7433827,0.1194952,0.2509704,0.6943831,0.6439884,0.1943667,0.05904737,0.09017704,0.1109263,0.4180356,0.3560379,0.1714057,0.5346109,0.07514468,0.2076617,0.2629797,0.4038366,0.5703292,0.4365221,0.1329806,0.2866475,0.500149,0.1996789,0.3851017,0.7157918,0.7172878,0.475611,0.403936,0.317838,0.3122823,0.7924249,0.3980512,0.5517707,0.5965019,0.2588221,0.4849341,0.8494639,0.6414288,0.3009571,0.6010705
