ID,Fp1_F7,Fp1_T7,Fp1_P7,Fp1_O1,Fp1_Fp2,Fp1_F8,Fp1_T8,Fp1_P8,Fp1_O2,Fp1_F3,Fp1_C3,Fp1_P3,Fp1_F4,Fp1_C4,Fp1_P4,Fp1_Fz,Fp1_Cz,Fp1_Pz,F7_T7,F7_P7,F7_O1,F7_Fp2,F7_F8,F7_T8,F7_P8,F7_O2,F7_F3,F7_C3,F7_P3,F7_F4,F7_C4,F7_P4,F7_Fz,F7_Cz,F7_Pz,T7_P7,T7_O1,T7_Fp2,T7_F8,T7_T8,T7_P8,T7_O2,T7_F3,T7_C3,T7_P3,T7_F4,T7_C4,T7_P4,T7_Fz,T7_Cz,T7_Pz,P7_O1,P7_Fp2,P7_F8,P7_T8,P7_P8,P7_O2,P7_F3,P7_C3,P7_P3,P7_F4,P7_C4,P7_P4,P7_Fz,P7_Cz,P7_Pz,O1_Fp2,O1_F8,O1_T8,O1_P8,O1_O2,O1_F3,O1_C3,O1_P3,O1_F4,O1_C4,O1_P4,O1_Fz,O1_Cz,O1_Pz,Fp2_F8,Fp2_T8,Fp2_P8,Fp2_O2,Fp2_F3,Fp2_C3,Fp2_P3,Fp2_F4,Fp2_C4,Fp2_P4,Fp2_Fz,Fp2_Cz,Fp2_Pz,F8_T8,F8_P8,F8_O2,F8_F3,F8_C3,F8_P3,F8_F4,F8_C4,F8_P4,F8_Fz,F8_Cz,F8_Pz,T8_P8,T8_O2,T8_F3,T8_C3,T8_P3,T8_F4,T8_C4,T8_P4,T8_Fz,T8_Cz,T8_Pz,P8_O2,P8_F3,P8_C3,P8_P3,P8_F4,P8_C4,P8_P4,P8_Fz,P8_Cz,P8_Pz,O2_F3,O2_C3,O2_P3,O2_F4,O2_C4,O2_P4,O2_Fz,O2_Cz,O2_Pz,F3_C3,F3_P3,F3_F4,F3_C4,F3_P4,F3_Fz,F3_Cz,F3_Pz,C3_P3,C3_F4,C3_C4,C3_P4,C3_Fz,C3_Cz,C3_Pz,P3_F4,P3_C4,P3_P4,P3_Fz,P3_Cz,P3_Pz,F4_C4,F4_P4,F4_Fz,F4_Cz,F4_Pz,C4_P4,C4_Fz,C4_Cz,C4_Pz,P4_Fz,P4_Cz,P4_Pz,Fz_Cz,Fz_Pz,Cz_Pz
S_1063084_e_001.set,0.6132274,0.3967693,0.1386586,0.07857001,0.02196244,0.01267355,0.01380767,0.02354197,0.03342409,0.3779932,0.2862917,0.04019635,0.2472053,0.1079797,0.0591852,0.08922846,0.0556885,0.0159394,0.7132,0.2695386,0.1559969,0.0207055,0.01647296,0.02738753,0.03768887,0.0781787,0.5844129,0.5796345,0.1072547,0.1205181,0.03880481,0.02399375,0.01887123,0.0232825,0.03556366,0.5355209,0.3686987,0.01935249,0.03648378,0.08306722,0.08888134,0.1917787,0.3739757,0.5635048,0.2945532,0.05944517,0.02214982,0.03705665,0.02751853,0.0385582,0.1120173,0.8238945,0.02056933,0.06820602,0.1203122,0.1999746,0.4108241,0.09616989,0.289444,0.6282578,0.02643113,0.03908219,0.1155353,0.036024,0.03856004,0.2424173,0.02395065,0.08701723,0.1564756,0.3117495,0.6177056,0.04689556,0.1851308,0.5985179,0.04012812,0.07587164,0.2181244,0.02744356,0.05168893,0.3072553,0.3098229,0.1046746,0.03890809,0.02955604,0.1441167,0.07782646,0.01451675,0.05872049,0.01363101,0.01503496,0.2574853,0.1392335,0.02472064,0.6330246,0.2581553,0.1753512,0.07044831,0.02031299,0.03080747,0.2143263,0.1155745,0.09039259,0.08464613,0.0138062,0.02509232,0.369991,0.3034847,0.02179043,0.01763375,0.08152319,0.1317283,0.1384204,0.1473255,0.03628083,0.01839707,0.07298187,0.7289334,0.02408624,0.04169989,0.190228,0.242181,0.4533785,0.7113152,0.02356715,0.07816444,0.2465973,0.02371582,0.09343739,0.3674883,0.1404899,0.277594,0.5857544,0.0213182,0.08621319,0.3593169,0.6479408,0.04647209,0.1918696,0.0471746,0.02730529,0.09194132,0.08758311,0.02232399,0.2809987,0.07003222,0.01388329,0.02817218,0.05958812,0.1727865,0.1780242,0.02880017,0.07045653,0.20437,0.02561467,0.12724,0.6000561,0.5449432,0.3687328,0.04889075,0.06643736,0.09553687,0.678364,0.09759302,0.1470033,0.2016393,0.08721061,0.2033292,0.4030668,0.447331,0.08262916,0.4252389
S_1262610_e_001.set,0.3517339,0.08783053,0.02561399,0.03420782,0.3051351,0.2043771,0.1429245,0.08374749,0.05487688,0.2864189,0.06936501,0.03968036,0.08497883,0.07922062,0.08919469,0.04443664,0.035482,0.06188826,0.6225098,0.1915139,0.03774367,0.1396763,0.06502853,0.04891885,0.04601651,0.03660692,0.3007182,0.1971169,0.07721107,0.06624348,0.05960984,0.04246732,0.03442978,0.04178123,0.04625045,0.5150105,0.1263719,0.05489295,0.05358408,0.121587,0.1518508,0.1476126,0.1651921,0.3012634,0.224824,0.04584482,0.08527227,0.1034641,0.03633831,0.06775869,0.1109857,0.4600612,0.03777509,0.07297207,0.1946613,0.2877808,0.3547153,0.06753207,0.2758618,0.5432626,0.0328384,0.1177627,0.2033717,0.02254418,0.07745077,0.2414006,0.02784202,0.07786896,0.1930371,0.3385966,0.6366086,0.01975556,0.1159184,0.4838646,0.03087662,0.1323743,0.3283862,0.01857536,0.07976086,0.4084131,0.4205393,0.1908841,0.09510019,0.06155155,0.03609413,0.04389543,0.05119243,0.3757727,0.1683619,0.1022985,0.1111208,0.08299329,0.07780216,0.5707239,0.2971498,0.1829701,0.04484364,0.03567011,0.06785347,0.3418637,0.3077899,0.2564593,0.03118716,0.06393771,0.1485992,0.6271319,0.431367,0.03343222,0.09143793,0.1917781,0.2248806,0.4882719,0.5457649,0.04975456,0.1358827,0.3550903,0.7347982,0.02810774,0.1291162,0.2999635,0.1249146,0.4105667,0.7222442,0.04515823,0.1652613,0.5258074,0.0307595,0.1243886,0.4115863,0.06297155,0.2808463,0.6464704,0.03911365,0.1379839,0.6212753,0.5841263,0.1401306,0.09839197,0.09403127,0.05310145,0.4465108,0.2839283,0.08203392,0.4925829,0.121363,0.2577012,0.2281956,0.3783261,0.5284856,0.3469341,0.07814014,0.2483247,0.4041754,0.1132634,0.2804223,0.5953211,0.4402381,0.1968016,0.4720849,0.3151855,0.1639475,0.6857423,0.2728899,0.5236525,0.5205642,0.1112131,0.3854812,0.7932149,0.588753,0.1625929,0.4877524
S_1262610_e_002.set,0.5308198,0.1872648,0.05793117,0.0495244,0.1783047,0.1445448,0.0897497,0.06201262,0.04829496,0.4995574,0.236235,0.06338358,0.07461758,0.06280459,0.04279713,0.04117576,0.05670656,0.04197178,0.6372236,0.1649432,0.03825499,0.09537559,0.05443525,0.04723509,0.03870941,0.04618253,0.4091372,0.3434464,0.1014839,0.04988974,0.06832189,0.05968145,0.02146227,0.05788319,0.06487148,0.5210163,0.1122068,0.03263357,0.04465077,0.07446034,0.09039939,0.1203631,0.1851313,0.3477969,0.2413159,0.03736911,0.07134538,0.1024146,0.01647302,0.05109493,0.1041089,0.5005581,0.05638707,0.09426858,0.1402471,0.1905753,0.3165585,0.05975796,0.2017417,0.5310861,0.05222507,0.09410556,0.1846717,0.02849687,0.05075259,0.216309,0.06340678,0.1085648,0.1801698,0.2833363,0.5231348,0.03491522,0.06691049,0.4184526,0.06291299,0.1497567,0.3007182,0.03835473,0.06721195,0.3360207,0.6244523,0.4356362,0.2669229,0.1676147,0.04306803,0.04519909,0.07336323,0.54027,0.3100085,0.198597,0.09181908,0.1218712,0.1150175,0.7981821,0.5010195,0.3173084,0.05196694,0.03297525,0.08020294,0.5330722,0.4909509,0.3550506,0.0478079,0.1015778,0.1912551,0.7537622,0.5302686,0.04327031,0.04690334,0.1334186,0.3795199,0.6120241,0.5942096,0.03284922,0.1418089,0.3434867,0.7819768,0.04175054,0.05544316,0.1984616,0.2523853,0.5468363,0.7844397,0.0478773,0.1823028,0.5361692,0.04352238,0.07430353,0.3541853,0.1737441,0.4061937,0.7530569,0.04212626,0.1509457,0.6366779,0.6325697,0.1337267,0.06349735,0.07288256,0.05106262,0.3339802,0.319513,0.08366,0.4010025,0.07328713,0.1410749,0.1318134,0.2662947,0.4496918,0.2292661,0.09968968,0.1750368,0.3414169,0.07630287,0.1968966,0.5434421,0.5174921,0.2906049,0.3660702,0.3227303,0.2140806,0.7107973,0.2111201,0.4939712,0.5242971,0.09664066,0.3665428,0.8304142,0.51781,0.1205277,0.4211411
S_1262610_e_003.set,0.4892425,0.1629993,0.03436498,0.04651509,0.2238584,0.1665863,0.1084051,0.08046815,0.07132499,0.4580154,0.2133093,0.04773874,0.06632121,0.06634669,0.06705373,0.06713121,0.04500795,0.04966763,0.6523013,0.161589,0.04427495,0.08736264,0.04479209,0.03911347,0.0397523,0.02742292,0.3697802,0.3326139,0.08195355,0.03330382,0.04008249,0.03096504,0.03787763,0.03401216,0.02330722,0.5140675,0.1353209,0.02907196,0.0429279,0.06621107,0.07032723,0.0784087,0.1707185,0.3530246,0.2783131,0.03721357,0.0462519,0.05334495,0.03924537,0.05023649,0.06448662,0.5409189,0.03239239,0.07866021,0.1260724,0.1957458,0.265801,0.05079812,0.211166,0.5812957,0.03872842,0.083882,0.1498436,0.0310929,0.07233681,0.1920005,0.04297995,0.0876179,0.1561276,0.2912915,0.5095545,0.03866882,0.08312458,0.4676503,0.04363345,0.1025059,0.2656637,0.03163312,0.06630815,0.3161783,0.674665,0.4672936,0.2893956,0.1880349,0.02742689,0.02800708,0.04600681,0.6540034,0.4523884,0.2911362,0.2280555,0.2098449,0.1711254,0.8253948,0.5339446,0.3474712,0.0212094,0.03089644,0.08408243,0.6285493,0.5937321,0.4800313,0.1517525,0.2101965,0.2795921,0.7635243,0.5348967,0.02447313,0.04464677,0.139575,0.4943123,0.6375445,0.6583872,0.121066,0.2205745,0.4162858,0.7732882,0.03018366,0.04797965,0.227865,0.3168147,0.5198411,0.7627766,0.09334559,0.1971088,0.538281,0.03478321,0.06125249,0.3424124,0.1948667,0.3828523,0.7535415,0.06477637,0.1532475,0.6533929,0.6170944,0.1063296,0.07948394,0.0595541,0.04706207,0.4623814,0.2941025,0.07659161,0.3855011,0.09912537,0.1062337,0.1097028,0.3374869,0.3700114,0.1769323,0.07918087,0.1713678,0.346024,0.1025647,0.2154749,0.5282489,0.7147282,0.4302805,0.5443743,0.5204484,0.2910104,0.7101814,0.3750911,0.5474109,0.547414,0.2099712,0.4100306,0.8517054,0.7012538,0.2076838,0.4379729
S_1262610_e_004.set,0.493414,0.1449213,0.03611071,0.05026824,0.3063204,0.2163883,0.1213401,0.09573618,0.1063871,0.4606787,0.1668514,0.02860804,0.1334057,0.0800582,0.0821507,0.08069605,0.0734676,0.05296821,0.6268269,0.1356588,0.04388792,0.1653076,0.06450137,0.03891223,0.02944257,0.04422002,0.3605894,0.3144387,0.1042175,0.07325303,0.0466918,0.04064636,0.06993626,0.07811828,0.04825204,0.4481625,0.1458568,0.05573488,0.02387919,0.03634993,0.05719537,0.08531241,0.1655629,0.3441574,0.3111902,0.0304337,0.03856653,0.06829178,0.05079517,0.07790528,0.1028331,0.564809,0.04242337,0.0446939,0.07078113,0.134266,0.269269,0.06559723,0.1949341,0.5759815,0.03382663,0.04856678,0.1357571,0.02459904,0.05452632,0.1953164,0.06178664,0.08049084,0.1058794,0.1966626,0.4680704,0.02600039,0.08425131,0.5010913,0.05098121,0.08618513,0.2353416,0.01983014,0.05375509,0.29816,0.5604232,0.3167961,0.1734455,0.1249875,0.05348679,0.04458939,0.05179024,0.6255686,0.3068318,0.1763168,0.160566,0.1446903,0.1088761,0.7212705,0.4087245,0.2965845,0.04971447,0.05385734,0.07096307,0.6092449,0.5546954,0.4121861,0.102019,0.1951801,0.2402141,0.6742086,0.4638906,0.0334213,0.03738711,0.09294683,0.3913435,0.6549622,0.6271397,0.04704946,0.2131225,0.3753076,0.6347402,0.04543113,0.01975919,0.1446709,0.2018034,0.4790196,0.7129782,0.02725572,0.1593361,0.4735755,0.05008689,0.03146275,0.2796578,0.1410806,0.3575052,0.670132,0.01605229,0.1146985,0.5570543,0.5989893,0.09517835,0.05553048,0.04849555,0.02437208,0.4116902,0.2759713,0.04305721,0.4008644,0.07886093,0.1084537,0.08628093,0.3100058,0.3841356,0.1792227,0.07377875,0.1398825,0.283528,0.05850182,0.1692032,0.4877941,0.5783165,0.3076808,0.4230103,0.4075426,0.22452,0.7177031,0.2555879,0.5452787,0.5264795,0.09101336,0.366709,0.8217034,0.5920302,0.1095121,0.4020314
S_1262610_e_005.set,0.579896,0.2350269,0.05526558,0.0500548,0.2701975,0.201895,0.1167079,0.08763885,0.08119113,0.5109816,0.2364838,0.03453814,0.09506585,0.03762377,0.04749957,0.07902233,0.05224399,0.03184595,0.6273071,0.1290794,0.02821797,0.192412,0.08634058,0.05096471,0.06124406,0.04533251,0.4094213,0.2985849,0.07186922,0.09401791,0.04697859,0.03709863,0.05828504,0.05751288,0.04500344,0.4595413,0.06515869,0.08259319,0.03292665,0.03998254,0.0641695,0.06772522,0.1845755,0.309487,0.223427,0.05616652,0.03700287,0.04908914,0.0570292,0.06838685,0.07239802,0.4158972,0.01978828,0.05313638,0.08858478,0.1307817,0.2560181,0.0626006,0.2000536,0.4958009,0.04230871,0.05695249,0.1332578,0.04221852,0.06948219,0.169514,0.0471581,0.110566,0.2015758,0.3087887,0.5862789,0.05011425,0.03943775,0.390427,0.06402342,0.1343762,0.3166999,0.03460374,0.04328366,0.3085636,0.5686005,0.2977885,0.1602011,0.1109829,0.09363288,0.03762086,0.03672976,0.5129825,0.2284828,0.1444016,0.09495889,0.06477134,0.07685655,0.7296622,0.3796257,0.3000316,0.1150645,0.04957964,0.0874088,0.5360435,0.4541897,0.3351659,0.06297534,0.08405004,0.2005245,0.6909084,0.5224546,0.101831,0.04817855,0.1492463,0.3247985,0.5812997,0.6072264,0.04826578,0.1042829,0.3818273,0.675604,0.08352394,0.04939688,0.222714,0.1786254,0.4654571,0.7215239,0.0371095,0.09309314,0.4862689,0.08311615,0.05135423,0.3509181,0.1431077,0.3872618,0.7420853,0.04524771,0.08876625,0.6004689,0.654689,0.09871785,0.03456141,0.04210485,0.0431219,0.420707,0.2831354,0.06107535,0.3636968,0.05946524,0.09017263,0.07264907,0.3737901,0.3961152,0.1611492,0.09662011,0.2189271,0.370684,0.09908935,0.1993329,0.5557293,0.5251473,0.243507,0.4117409,0.3352906,0.1950853,0.6987177,0.2496873,0.4725957,0.568536,0.0810826,0.2606598,0.8310696,0.6313,0.128571,0.3575983
S_1262610_e_006.set,0.5060006,0.1928973,0.07757674,0.04274395,0.268961,0.1896285,0.116302,0.07774274,0.06476511,0.4270711,0.2290837,0.07264317,0.08523141,0.06925519,0.0666976,0.06479717,0.05367994,0.05340097,0.6657692,0.2664967,0.05662434,0.1288345,0.0595225,0.0471959,0.03720196,0.04572099,0.3837228,0.3533005,0.1363132,0.046587,0.03603456,0.03886673,0.04596065,0.05331931,0.04501816,0.6444137,0.1405155,0.05410606,0.03704982,0.05014228,0.05315661,0.09710439,0.2325406,0.3905133,0.2970157,0.0375663,0.05243366,0.06622445,0.05193766,0.08099428,0.09132197,0.3999856,0.0396135,0.05562574,0.09326244,0.125179,0.2158432,0.1076157,0.2864099,0.5307684,0.05052735,0.09294615,0.1329291,0.06052955,0.07850639,0.1853566,0.05341283,0.1080436,0.1833663,0.2968283,0.5856431,0.04261354,0.08089538,0.3821538,0.08766027,0.159035,0.3105386,0.07145669,0.08752281,0.3377237,0.544082,0.2946205,0.1594811,0.1294104,0.04425362,0.02761162,0.04069516,0.5541109,0.2897265,0.1856135,0.1377491,0.08750783,0.1246557,0.7615401,0.4307674,0.3102711,0.04153445,0.03124819,0.07023698,0.5584317,0.4969868,0.3661124,0.09769247,0.1248308,0.212621,0.7158759,0.5138888,0.04324103,0.03658739,0.1135955,0.3747343,0.6253098,0.6055099,0.07831622,0.1579237,0.3410544,0.7166421,0.0489891,0.04067232,0.1756461,0.2315488,0.5352579,0.7516809,0.06529381,0.149675,0.4659292,0.05863639,0.05790864,0.2738888,0.1845562,0.4033239,0.7271458,0.07012854,0.1371344,0.5772755,0.6766365,0.1862476,0.05736525,0.06539728,0.05199874,0.4296215,0.3134057,0.09551902,0.4728622,0.07227638,0.1247301,0.09817569,0.3243724,0.4098718,0.2022632,0.1055273,0.2282601,0.3134021,0.1484192,0.2897799,0.5178578,0.5640554,0.3241017,0.4681572,0.3638796,0.276406,0.7382046,0.2893279,0.4981955,0.5738202,0.1458201,0.345583,0.8003194,0.6048554,0.206097,0.4838652
S_1262610_e_007.set,0.5212954,0.2599888,0.0885804,0.06306896,0.2427937,0.2047689,0.1408835,0.09414844,0.06729451,0.5000218,0.2435257,0.05447978,0.09433188,0.07554861,0.07131299,0.08803771,0.04650472,0.0360565,0.7246553,0.2064395,0.05163619,0.1640144,0.08156986,0.04720396,0.03019833,0.04363557,0.3791699,0.3348531,0.1046235,0.0740925,0.04273037,0.04852697,0.03989163,0.04172397,0.05851543,0.5144126,0.0861196,0.1227534,0.05061095,0.03509376,0.0331168,0.06833825,0.2429065,0.374384,0.2342748,0.05885177,0.02877343,0.03834442,0.03157113,0.03368312,0.06700207,0.3914198,0.08401902,0.04681485,0.05743986,0.09295958,0.2051851,0.09115046,0.2321227,0.4685767,0.06497572,0.0352463,0.07979041,0.03926963,0.04135059,0.1130095,0.05759057,0.06598599,0.1114236,0.2096132,0.5250078,0.0427238,0.03191836,0.3116748,0.04692142,0.05599036,0.208137,0.03828775,0.02304854,0.2266283,0.5881691,0.2999972,0.1571918,0.09093054,0.03583877,0.02779594,0.04819518,0.6413078,0.3674338,0.1799221,0.1981345,0.1185547,0.09119225,0.6629632,0.3565474,0.1928004,0.05277043,0.02916542,0.0274858,0.5013266,0.4967384,0.3196794,0.08581094,0.1092423,0.1396403,0.6141388,0.3628105,0.06749113,0.03266972,0.04472238,0.3117878,0.4943835,0.5011765,0.06437837,0.09872492,0.2235664,0.6366839,0.03866585,0.01988514,0.07575963,0.1882494,0.3870124,0.6832455,0.05356161,0.1002402,0.3917302,0.04671505,0.02172997,0.1778575,0.1079039,0.2611579,0.6542453,0.04541758,0.06912574,0.5321261,0.6529077,0.1157484,0.05783218,0.0485606,0.03040183,0.4199355,0.2457441,0.038594,0.3958297,0.05132976,0.06277053,0.03671718,0.2937341,0.3118192,0.1140856,0.03128232,0.05814171,0.1647647,0.07506664,0.1260997,0.3880556,0.5861389,0.2841253,0.5077215,0.3774572,0.1975925,0.6524861,0.2904747,0.4747346,0.4422362,0.1135741,0.29175,0.7697248,0.6044599,0.1569395,0.3939036
S_1262610_e_008.set,0.5114434,0.2546686,0.078541,0.04538264,0.2916095,0.1861799,0.08906306,0.03657462,0.02791792,0.5205741,0.2420864,0.08923519,0.08794624,0.0573168,0.03613965,0.1044931,0.0897617,0.04195108,0.7388692,0.2560393,0.0561947,0.1554825,0.06179009,0.03242658,0.02409347,0.02586123,0.4527896,0.3815901,0.1726472,0.06008122,0.04065046,0.04106296,0.05544745,0.08613198,0.05359298,0.5351345,0.1030172,0.08652298,0.03632235,0.05141934,0.04976738,0.05673827,0.2654164,0.3571073,0.2391643,0.04822453,0.04134975,0.04964558,0.03793686,0.07045659,0.06523506,0.3749281,0.04203016,0.04813723,0.1054605,0.1396445,0.2156337,0.1071409,0.2540099,0.4738664,0.05086979,0.08682335,0.1469874,0.03428412,0.08473546,0.1785337,0.0488552,0.06499907,0.1403282,0.2284953,0.537097,0.04382239,0.09153331,0.4424901,0.07189924,0.1169921,0.2916642,0.07552403,0.1102444,0.3578953,0.5911534,0.2944472,0.132954,0.09906717,0.06701009,0.04304954,0.05725972,0.493055,0.2435641,0.139535,0.1243049,0.08973401,0.1111375,0.7381983,0.3939705,0.2389184,0.05963421,0.05021819,0.07955739,0.5084584,0.4608806,0.3261402,0.08910476,0.1301481,0.1975733,0.7150258,0.4734565,0.03507867,0.05197003,0.1436586,0.3544063,0.5846252,0.5991253,0.07964922,0.1614928,0.3602596,0.6980578,0.02431997,0.0475456,0.2155806,0.2083717,0.5114399,0.7383341,0.06626709,0.1671966,0.499764,0.02889564,0.06805382,0.3570702,0.1525656,0.3756359,0.7349869,0.08154658,0.1690198,0.664847,0.701984,0.2161212,0.0604788,0.08143125,0.06610236,0.4113015,0.3542986,0.1132739,0.4816898,0.07938942,0.1461284,0.1342573,0.3473531,0.4701424,0.23078,0.1044504,0.2280376,0.3758445,0.1587634,0.2985688,0.5289938,0.6098897,0.3274086,0.4892835,0.3797136,0.2571735,0.7152292,0.3624216,0.5458186,0.5686722,0.1950223,0.3787375,0.8491847,0.6524853,0.2335079,0.4529574
S_1262610_e_009.set,0.4325103,0.1547449,0.05693034,0.05228333,0.3347157,0.2505416,0.1430669,0.07309063,0.08252935,0.3630623,0.1355811,0.03466246,0.1382641,0.07494542,0.05418538,0.04659797,0.04053188,0.03632373,0.6935765,0.2454477,0.0508479,0.2145278,0.0808273,0.04637956,0.03930678,0.03713964,0.2536707,0.2376604,0.07981636,0.1129209,0.05971377,0.03612912,0.05144575,0.05044655,0.03134196,0.6071755,0.1156234,0.1122887,0.05330405,0.05657605,0.04646875,0.05909823,0.1319529,0.284353,0.256791,0.05915712,0.0393688,0.04555631,0.04039555,0.04401346,0.05084592,0.384386,0.06059195,0.06721185,0.09768416,0.1152631,0.1867965,0.06600196,0.2262656,0.538543,0.0366297,0.03773585,0.09510405,0.02527241,0.03785445,0.120032,0.05172841,0.09672999,0.1346403,0.2370193,0.5020362,0.04436546,0.05549942,0.3465691,0.0495679,0.08408398,0.2280312,0.02610115,0.03458809,0.2590944,0.6237162,0.361504,0.1519866,0.1236776,0.04583538,0.03059953,0.04125963,0.6193681,0.3466339,0.1985993,0.1798518,0.1606565,0.124315,0.7718365,0.3705812,0.2926772,0.04779582,0.03221091,0.07972785,0.5553018,0.5310639,0.3893735,0.1059798,0.1850754,0.2520592,0.6473304,0.4685901,0.03654174,0.04897122,0.129469,0.4046739,0.6138323,0.5990019,0.09416783,0.2122792,0.3910776,0.7026522,0.03800721,0.04202734,0.153421,0.2123919,0.4440665,0.713123,0.06352762,0.1695964,0.4927352,0.0604695,0.05616254,0.254705,0.1534245,0.348315,0.7035148,0.03688869,0.1246509,0.6014776,0.6162533,0.1499219,0.03985012,0.0484158,0.04469275,0.3988954,0.2867915,0.07251768,0.422981,0.06585716,0.1216737,0.1008505,0.2869515,0.359311,0.1766569,0.06632107,0.1590462,0.2674897,0.1077329,0.2070065,0.4492663,0.5986782,0.3336901,0.4944795,0.4260646,0.2551698,0.7109822,0.3342325,0.5370877,0.5508664,0.1788838,0.3675124,0.8321084,0.6800175,0.2136686,0.4372895
